Peptide,LFC,ID,Gene
ACM1_421_433,0.731004035927489,P11229,CHRM1
ACM1_444_456,0.6616774668619692,P11229,CHRM1
ACM4_456_468,0.9434164716336322,P08173,CHRM4
ADDB_706_718,0.9291597594495512,P35612,ADD2
ANDR_785_797,0.8761714131471416,P10275,AR
BCKD_45_57,1.9783699840284577,O14874,BCKDK
CDN1A_139_151,-0.3039028788430578,P38936,CDKN1A
ERBB2_679_691,0.980916773543627,P04626,ERBB2
H2B1B_ 27_40,1.0548310412147828,P33778,H2BC3
H32_3_18,0.9620482602084132,Q71DI3,H3C13
H32_3_18,0.9620482602084132,Q71DI3,H3C14
H32_3_18,0.9620482602084132,Q71DI3,H3C15
IF4E_203_215,1.4136279290241724,P06730,EIF4E
KAPCG_192_206,1.1760772284239076,P22612,PRKACG
KCC2G_278_289,1.1865960332695904,Q13555,CAMK2G
KPCB_19_31_A25S,2.233149539986557,P05771,PRKCB
KS6A1_374_386,0.5272470028648688,Q15418,RPS6KA1
MARCS_152_164,1.476989990021602,P29966,MARCKS
MARCS_160_172,1.4641320488070135,P29966,MARCKS
MBP_222_234,0.9094877070945576,P02686,MBP
MP2K1_287_299,1.079038744792017,Q02750,MAP2K1
NR4A1_344_356,0.830310406087114,P22736,NR4A1
PP2AB_297_309,1.3565346609182936,P62714,PPP2CB
RAF1_253_265,1.5005962950622442,P04049,RAF1
STK6_283_295,-0.5601465610120648,O14965,AURKA
ACM5_494_506,0.7504129156074217,P08912,CHRM5
BAD_69_81,0.9435593056559152,Q92934,BAD
CAC1C_1974_1986,0.47447095318250376,Q13936,CACNA1C
CENPA_1_14,1.2665955185111215,P49450,CENPA
CGHB_109_121,0.5789142740972251,P01233,CGB3
CGHB_109_121,0.5789142740972251,P01233,CGB5
CGHB_109_121,0.5789142740972251,P01233,CGB7
CGHB_109_121,0.5789142740972251,P01233,CGB8
FRAP_2443_2455,1.0303156244274725,P42345,MTOR
GPR6_349_361,1.279283757478869,P46095,GPR6
GYS2_1_13,0.6008085366598603,P54840,GYS2
KAP2_92_104,0.4109169315310197,P13861,PRKAR2A
KCNA2_442_454,0.8793185175775369,P16389,KCNA2
NMDZ1_890_902,0.876617584494717,Q05586,GRIN1
RB_242_254,0.9472929496691552,P06400,RB1
RB_803_815,0.8953478475920571,P06400,RB1
ACM5_498_510,0.5800844063326922,P08912,CHRM5
ADDB_696_708,0.4468239879464946,P35612,ADD2
ADRB2_338_350,0.5396948371276711,P07550,ADRB2
ANXA1_209_221,0.7669484603819212,P04083,ANXA1
BAD_112_124,0.9074856440974202,Q92934,BAD
BAD_93_105,0.6268433818518613,Q92934,BAD
CA2D1_494_506,0.8934283358019561,P54289,CACNA2D1
CD27_212_224,1.142293882465122,P26842,CD27
CFTR_730_742,0.5892920490560538,P13569,CFTR
CREB1_126_138,0.7751722303286908,P16220,CREB1
CSF1R_701_713,0.8174735447252912,P07333,CSF1R
DESP_2842_2854,0.9998094320001344,P15924,DSP
EPB42_241_253,0.6481439033903182,P16452,EPB42
ESR1_160_172,0.8673131772046281,P03372,ESR1
FOXO3_25_37,0.7520724865564139,O43524,FOXO3
GBRB2_427_439,0.6403049682453332,P47870,GABRB2
GPSM2_394_406,1.0392962743679242,P81274,GPSM2
GSUB_61_73,1.1851114052569882,O96001,PPP1R17
K6PL_766_778,0.9088040821443508,P17858,PFKL
KAP3_107_119,0.4187084356635786,P31323,PRKAR2B
KCNA1_438_450,1.7487668463985564,Q09470,KCNA1
KCNA3_461_473,1.6783590371746642,P22001,KCNA3
KIF2C_105_118_S106G,0.5228067991828107,Q99661,KIF2C
KPB1_1011_1023,0.7171264612436037,P46020,PHKA1
LIPS_944_956,1.3201348130643122,Q05469,LIPE
MPIP1_172_184,0.6285602683238531,P30304,CDC25A
MYPC3_268_280,0.5532081019790152,Q14896,MYBPC3
NCF1_296_308,0.7879175560683755,P14598,NCF1
NFKB1_330_342,0.7812272069693371,P19838,NFKB1
NOS3_1171_1183,0.634817450227473,P29474,NOS3
PLEK_106_118,1.4722337109447512,P08567,PLEK
PLM_76_88,1.1413455900443292,O00168,FXYD1
PPR1A_28_40,0.6518680035313196,Q13522,PPP1R1A
PTK6_436_448,0.8314869066854449,Q13882,PTK6
PTN12_32_44,0.9207786679539004,Q05209,PTPN12
RAP1B_172_184,1.0171375605517283,P61224,RAP1B
RBL2_655_667,1.4078059300477683,Q08999,RBL2
REL_260_272,1.4156043067512227,Q04864,REL
RS6_228_240,0.9125494696889797,P62753,RPS6
RYR1_4317_4329,1.0933871881196566,P21817,RYR1
SCN7A_898_910,1.131710617463435,Q01118,SCN7A
STMN2_90_102,1.905554148045705,Q93045,STMN2
TOP2A_1463_1475,0.5465418075691115,P11388,TOP2A
TY3H_65_77,0.7775705907508517,P07101,TH
VASP_150_162,0.884367925497072,P50552,VASP
VASP_271_283,1.9529317463432216,P50552,VASP
VTNC_390_402,0.5654051730241143,P04004,VTN
