Peptide,LFC,ID,Gene
ACM1_444_456,-0.2728486956607492,P11229,CHRM1
ACM4_456_468,-0.4758088246086447,P08173,CHRM4
ADDB_696_708,-0.23070768954845144,P35612,ADD2
ADRB2_338_350,-0.4568166187535194,P07550,ADRB2
BAD_112_124,-0.7164960643601646,Q92934,BAD
BAD_69_81,-0.7460966059183347,Q92934,BAD
BCKD_45_57,0.8268510976834016,O14874,BCKDK
CAC1C_1974_1986,-0.3848602840666846,Q13936,CACNA1C
CFTR_730_742,-0.48567492137739343,P13569,CFTR
CGHB_109_121,-0.28921212352377346,P01233,CGB3
CGHB_109_121,-0.28921212352377346,P01233,CGB5
CGHB_109_121,-0.28921212352377346,P01233,CGB7
CGHB_109_121,-0.28921212352377346,P01233,CGB8
CSF1R_701_713,-0.5861860309892455,P07333,CSF1R
DESP_2842_2854,-0.6583447980642054,P15924,DSP
ERBB2_679_691,0.7210400481574863,P04626,ERBB2
FRAP_2443_2455,-0.7415142948578382,P42345,MTOR
GPSM2_394_406,-0.6710713653192553,P81274,GPSM2
IF4E_203_215,0.7142455176661227,P06730,EIF4E
KAP2_92_104,-0.4615970944394672,P13861,PRKAR2A
KAPCG_192_206,0.4943171362811558,P22612,PRKACG
KPB1_1011_1023,-0.4750472315469043,P46020,PHKA1
MBP_222_234,0.13927478860212794,P02686,MBP
RAF1_253_265,0.5210281949670574,P04049,RAF1
RB_242_254,0.5420103555366094,P06400,RB1
ACM1_421_433,0.38644372750270906,P11229,CHRM1
ACM5_494_506,0.7037762878842377,P08912,CHRM5
ADDB_706_718,0.8133123773540034,P35612,ADD2
ANDR_785_797,0.3571127017416158,P10275,AR
ANXA1_209_221,0.16881906421614312,P04083,ANXA1
BAD_93_105,0.4943074626262094,Q92934,BAD
CA2D1_494_506,0.7355435190970081,P54289,CACNA2D1
CD27_212_224,0.286304185156641,P26842,CD27
CDN1A_139_151,0.3711667523841822,P38936,CDKN1A
CENPA_1_14,0.7613602102606993,P49450,CENPA
FOXO3_25_37,0.4700788628368056,O43524,FOXO3
GPR6_349_361,0.865015490444796,P46095,GPR6
GYS2_1_13,0.46258850182448,P54840,GYS2
H2B1B_ 27_40,0.5394081922845855,P33778,H2BC3
H32_3_18,0.5734324090530611,Q71DI3,H3C13
H32_3_18,0.5734324090530611,Q71DI3,H3C14
H32_3_18,0.5734324090530611,Q71DI3,H3C15
KCNA2_442_454,0.4675049191729794,P16389,KCNA2
KIF2C_105_118_S106G,0.34972024690868597,Q99661,KIF2C
KPCB_19_31_A25S,1.2358019948165977,P05771,PRKCB
MARCS_152_164,0.8522938420944626,P29966,MARCKS
MARCS_160_172,0.4099486226060436,P29966,MARCKS
NR4A1_344_356,0.6524535269438285,P22736,NR4A1
RBL2_655_667,0.7054394870807044,Q08999,RBL2
RB_803_815,0.6547508308780188,P06400,RB1
ACM5_498_510,0.3771061725425895,P08912,CHRM5
CREB1_126_138,0.4172704281271482,P16220,CREB1
EPB42_241_253,0.4304363148895618,P16452,EPB42
ESR1_160_172,0.32853514947470863,P03372,ESR1
GBRB2_427_439,0.4684526266503273,P47870,GABRB2
GSUB_61_73,0.4718687218755202,O96001,PPP1R17
K6PL_766_778,0.41227318526796974,P17858,PFKL
KAP3_107_119,0.4093164843826482,P31323,PRKAR2B
KCC2G_278_289,0.6005033516169345,Q13555,CAMK2G
KCNA1_438_450,0.8811862128369183,Q09470,KCNA1
KCNA3_461_473,0.5287464911546085,P22001,KCNA3
KS6A1_374_386,0.32443495049793647,Q15418,RPS6KA1
LIPS_944_956,0.7514157239037802,Q05469,LIPE
MP2K1_287_299,0.4516959698576919,Q02750,MAP2K1
MPIP1_172_184,0.3641398550428008,P30304,CDC25A
MYPC3_268_280,0.3782188473591166,Q14896,MYBPC3
NCF1_296_308,0.4769673114662165,P14598,NCF1
NFKB1_330_342,0.4286081981692975,P19838,NFKB1
NMDZ1_890_902,0.5638131742381223,Q05586,GRIN1
NOS3_1171_1183,0.5013298851616765,P29474,NOS3
PLEK_106_118,1.067296545422197,P08567,PLEK
PLM_76_88,0.7709558707911226,O00168,FXYD1
PP2AB_297_309,0.6833662047821507,P62714,PPP2CB
PPR1A_28_40,0.6212301146622989,Q13522,PPP1R1A
PTK6_436_448,0.5699758112144595,Q13882,PTK6
PTN12_32_44,0.5596326165774546,Q05209,PTPN12
RAP1B_172_184,0.5488243313015007,P61224,RAP1B
REL_260_272,0.766948016175129,Q04864,REL
RS6_228_240,0.6768567089416813,P62753,RPS6
RYR1_4317_4329,0.7840920652470889,P21817,RYR1
SCN7A_898_910,0.7315314701207072,Q01118,SCN7A
STK6_283_295,0.368478012132039,O14965,AURKA
STMN2_90_102,1.0672849593127092,Q93045,STMN2
TOP2A_1463_1475,0.3962161336983634,P11388,TOP2A
TY3H_65_77,0.5498569384575678,P07101,TH
VASP_150_162,0.5041171484557534,P50552,VASP
VASP_271_283,1.273092193420041,P50552,VASP
VTNC_390_402,0.46592664584350274,P04004,VTN
